NOMBRE EST.,BIC. DISPONIBLES,DIR.
66db76a1-0aca-11e7-82f6-3863bb44ef7c,83,317
c190f78c-77ad-469e-aecc-e2af7bb6d92a,23,4307
595cf79f-7783-4373-b3d5-775bcf76033b,11,4127
66db447a-0aca-11e7-82f6-3863bb44ef7c,22,260
75352ab4-8a31-4926-8b59-048a9e506452,10,3907
807e9f5a-49b6-4b7e-847b-4a60cff330ed,9,3862
f833d403-2cf5-424a-a3b3-0314a44b4a67,35,4340
84a7baff-415b-4ab9-a859-74c2801483ce,1,3772
053312f2-e77e-4674-b28b-ad357fbcb4ee,41,4651
0b613329-b8c8-4b8c-ad40-79952aa41157,27,3496
c2bb1874-bcb7-47c5-aa7d-05423b9087e8,30,4917
f3140fb8-347b-4dca-96df-eeef2d1bfc50,6,4332
66dd9fa6-0aca-11e7-82f6-3863bb44ef7c,4,3233
66dbec40-0aca-11e7-82f6-3863bb44ef7c,66,393
cf1a96a7-f695-4ba2-bcf2-899552e21e47,2,5005
0138452a-b9f4-4aee-80b0-7fae9a122ffe,23,4279
1834145589124844432,2,1834145589124844432
66dc120f-0aca-11e7-82f6-3863bb44ef7c,4,435
901ad0c4-383e-490a-8b54-0656ce2358d6,4,4267
525535e3-dde3-47b4-9c2e-0174eaa4f2bb,17,4961
e35c42c6-8b73-4528-b08d-c94b75624b40,14,3765
2a66ed0a-5e6d-4893-a1d1-876bb2bac4be,4,4200
7779e057-b33e-46a7-8a1e-8c28bcd9a558,9,4905
b371c432-b682-412f-9b85-8df84ce7a9f3,9,3946
5f63411c-91ce-4788-a567-d388cc812a15,13,3505
bc9c9006-3d40-400d-8b5c-17f56e6dfcee,6,4052
63a838a8-9acf-4ba1-91f5-c676f6ef2f7d,26,3819
823ef531-40e6-4397-b973-86bf5b032076,16,4970
f681f980-185d-45b9-8490-bb2606624dd4,6,4576
6d766daf-9298-4059-a329-1818582d495f,12,4758
66ddeaff-0aca-11e7-82f6-3863bb44ef7c,30,3307
1860189650739626488,22,1860189650739626488
1795146692060860976,13,1795146692060860976
0687075b-cf2d-4130-a859-fe841aafbd3f,14,3554
816e50eb-dc4b-47dc-b773-154e2020cb0d,5,4391
d2b23c87-b7c3-48c2-a634-db4b76ecbcf7,12,4929
66dd1d9c-0aca-11e7-82f6-3863bb44ef7c,34,3110
1849010133527040242,30,1849010133527040242
b4974d89-932c-4a9f-a264-2ea0cf70613e,6,4487
66dbf062-0aca-11e7-82f6-3863bb44ef7c,21,401
e73cf71b-db05-44f9-b57a-689d65320d68,35,3493
fec4aa1b-9fc1-4dd9-ab39-c1d7370a6e54,10,4143
fe65853e-b20a-4250-9677-2aa177283b72,15,4000
66dc82ef-0aca-11e7-82f6-3863bb44ef7c,1,524
66de1c33-0aca-11e7-82f6-3863bb44ef7c,34,3360
380394f7-64fa-4a65-a4d1-7bcaddd41fab,30,4423
66db33fc-0aca-11e7-82f6-3863bb44ef7c,11,168
66db46d7-0aca-11e7-82f6-3863bb44ef7c,32,266
87091002-cc25-452a-b5d9-f8d0c3fce422,4,3895
66dc9068-0aca-11e7-82f6-3863bb44ef7c,4,2006
1945126257666675246,31,1945126257666675246
